genre,accuracy,precision,recall,f1,balanced_accuracy,support
alternative,0.998,0.0,0.0,0.0,0.5,2
ambient,0.902,0.0,0.0,0.0,0.5,98
chillout,0.999,0.0,0.0,0.0,0.5,1
classical,0.754,0.5,0.008130081300813009,0.016,0.5027387807034569,246
country,0.999,0.0,0.0,0.0,0.5,1
dance,0.981,0.0,0.0,0.0,0.5,19
easylistening,0.978,0.0,0.0,0.0,0.5,22
electronic,0.558,0.558,1.0,0.7163029525032092,0.5,558
experimental,0.991,0.0,0.0,0.0,0.5,9
folk,0.992,0.0,0.0,0.0,0.5,8
house,0.999,0.0,0.0,0.0,0.5,1
instrumentalpop,0.977,0.0,0.0,0.0,0.5,23
instrumentalrock,0.999,0.0,0.0,0.0,0.5,1
jazz,0.964,0.0,0.0,0.0,0.5,36
jazzfusion,0.999,0.0,0.0,0.0,0.5,1
latin,1.0,0.0,0.0,0.0,1.0,0
metal,0.999,0.0,0.0,0.0,0.5,1
newage,0.999,0.0,0.0,0.0,0.5,1
orchestral,0.995,0.0,0.0,0.0,0.5,5
pop,0.595,0.5963855421686747,0.9949748743718593,0.7457627118644068,0.49872813197501153,597
popfolk,1.0,0.0,0.0,0.0,1.0,0
poprock,0.998,0.0,0.0,0.0,0.5,2
punkrock,1.0,0.0,0.0,0.0,1.0,0
reggae,1.0,0.0,0.0,0.0,1.0,0
rock,0.807,0.0,0.0,0.0,0.5,193
soundtrack,0.833,0.0,0.0,0.0,0.5,167
techno,0.997,0.0,0.0,0.0,0.5,3
trance,1.0,0.0,0.0,0.0,1.0,0
world,0.995,0.0,0.0,0.0,0.5,5
Overall,0.9416551724137932,0.577,0.577,0.577,0.7728333333333333,2000
