genre,accuracy,precision,recall,f1,balanced_accuracy,support
90s,1.0,0.0,0.0,0.0,1.0,0
alternative,0.998,0.0,0.0,0.0,0.5,4
ambient,0.899,0.0,0.0,0.0,0.4991671293725708,199
chillout,0.9995,0.0,0.0,0.0,0.5,1
classical,0.763,0.7222222222222222,0.053061224489795916,0.09885931558935361,0.5232193539667522,490
country,0.999,0.0,0.0,0.0,0.5,2
dance,0.981,0.0,0.0,0.0,0.5,38
easylistening,0.9725,0.0,0.0,0.0,0.5,55
electronic,0.562,0.5610005104645227,0.9856502242152466,0.7150292778139232,0.506949405892934,1115
experimental,0.99,0.0,0.0,0.0,0.5,20
folk,0.9915,0.0,0.0,0.0,0.5,17
hiphop,1.0,0.0,0.0,0.0,1.0,0
house,0.9995,0.0,0.0,0.0,0.5,1
indie,1.0,0.0,0.0,0.0,1.0,0
instrumentalpop,0.98,0.0,0.0,0.0,0.5,40
instrumentalrock,0.998,0.0,0.0,0.0,0.5,4
jazz,0.974,0.0,0.0,0.0,0.5,52
jazzfusion,0.9995,0.0,0.0,0.0,0.5,1
latin,0.9995,0.0,0.0,0.0,0.5,1
metal,0.999,0.0,0.0,0.0,0.5,2
newage,0.9995,0.0,0.0,0.0,0.5,1
orchestral,0.9965,0.0,0.0,0.0,0.5,7
pop,0.595,0.5909797822706065,0.9819121447028424,0.7378640776699029,0.5207534501821721,1161
popfolk,0.9995,0.0,0.0,0.0,0.5,1
poprock,0.9985,0.0,0.0,0.0,0.5,3
punkrock,1.0,0.0,0.0,0.0,1.0,0
reggae,0.9995,0.0,0.0,0.0,0.5,1
rock,0.801,0.640625,0.0985576923076923,0.17083333333333334,0.5420187451437452,416
soundtrack,0.8225,0.3333333333333333,0.008522727272727272,0.01662049861495845,0.5024409752868491,352
swing,1.0,0.0,0.0,0.0,1.0,0
symphonic,1.0,0.0,0.0,0.0,1.0,0
synthpop,1.0,0.0,0.0,0.0,1.0,0
techno,0.996,0.0,0.0,0.0,0.5,8
trance,1.0,0.0,0.0,0.0,1.0,0
world,0.996,0.0,0.0,0.0,0.5,8
Overall,0.9516857142857142,0.57725,0.57725,0.57725,0.775814393939394,4000
