genre,accuracy,precision,recall,f1,balanced_accuracy,support
90s,1.0,0.0,0.0,0.0,1.0,0
alternative,0.998,0.0,0.0,0.0,0.5,4
ambient,0.8995,0.0,0.0,0.0,0.4994447529150472,199
chillout,0.9995,0.0,0.0,0.0,0.5,1
classical,0.739,0.45294117647058824,0.3142857142857143,0.3710843373493976,0.5955534531693472,490
country,0.999,0.0,0.0,0.0,0.5,2
dance,0.9805,0.0,0.0,0.0,0.4997451580020387,38
easylistening,0.9725,0.0,0.0,0.0,0.5,55
electronic,0.5745,0.5762124711316398,0.895067264573991,0.7010888654724271,0.5328443667502724,1115
experimental,0.99,0.0,0.0,0.0,0.5,20
folk,0.9915,0.0,0.0,0.0,0.5,17
hiphop,1.0,0.0,0.0,0.0,1.0,0
house,0.9995,0.0,0.0,0.0,0.5,1
indie,1.0,0.0,0.0,0.0,1.0,0
instrumentalpop,0.98,0.0,0.0,0.0,0.5,40
instrumentalrock,0.998,0.0,0.0,0.0,0.5,4
jazz,0.9745,0.5454545454545454,0.11538461538461539,0.19047619047619047,0.5564089401358395,52
jazzfusion,0.9995,0.0,0.0,0.0,0.5,1
latin,0.9995,0.0,0.0,0.0,0.5,1
metal,0.999,0.0,0.0,0.0,0.5,2
newage,0.9995,0.0,0.0,0.0,0.5,1
orchestral,0.9965,0.0,0.0,0.0,0.5,7
pop,0.606,0.600322754168908,0.9612403100775194,0.7390728476821192,0.5378311204738014,1161
popfolk,0.9995,0.0,0.0,0.0,0.5,1
poprock,0.9985,0.0,0.0,0.0,0.5,3
punkrock,1.0,0.0,0.0,0.0,1.0,0
reggae,0.9995,0.0,0.0,0.0,0.5,1
rock,0.8005,0.717948717948718,0.0673076923076923,0.12307692307692308,0.5301816239316239,416
soundtrack,0.822,0.375,0.017045454545454544,0.03260869565217391,0.5054887466902029,352
swing,1.0,0.0,0.0,0.0,1.0,0
symphonic,1.0,0.0,0.0,0.0,1.0,0
synthpop,1.0,0.0,0.0,0.0,1.0,0
techno,0.996,0.0,0.0,0.0,0.5,8
trance,1.0,0.0,0.0,0.0,1.0,0
world,0.996,0.0,0.0,0.0,0.5,8
Overall,0.9516571428571429,0.577,0.577,0.577,0.7756818181818181,4000
