genre,accuracy,precision,recall,f1,balanced_accuracy,support
alternative,0.998,0.0,0.0,0.0,0.5,2
ambient,0.902,0.0,0.0,0.0,0.5,98
chillout,0.999,0.0,0.0,0.0,0.5,1
classical,0.752,0.25,0.0040650406504065045,0.008,0.5000431304047789,246
country,0.999,0.0,0.0,0.0,0.5,1
dance,0.981,0.0,0.0,0.0,0.5,19
easylistening,0.978,0.0,0.0,0.0,0.5,22
electronic,0.558,0.5582329317269076,0.996415770609319,0.7155727155727156,0.5004703287435736,558
experimental,0.991,0.0,0.0,0.0,0.5,9
folk,0.992,0.0,0.0,0.0,0.5,8
house,0.999,0.0,0.0,0.0,0.5,1
instrumentalpop,0.977,0.0,0.0,0.0,0.5,23
instrumentalrock,0.999,0.0,0.0,0.0,0.5,1
jazz,0.964,0.0,0.0,0.0,0.5,36
jazzfusion,0.999,0.0,0.0,0.0,0.5,1
latin,1.0,0.0,0.0,0.0,1.0,0
metal,0.999,0.0,0.0,0.0,0.5,1
newage,0.999,0.0,0.0,0.0,0.5,1
orchestral,0.995,0.0,0.0,0.0,0.5,5
pop,0.597,0.597,1.0,0.7476518472135254,0.5,597
popfolk,1.0,0.0,0.0,0.0,1.0,0
poprock,0.998,0.0,0.0,0.0,0.5,2
punkrock,1.0,0.0,0.0,0.0,1.0,0
reggae,1.0,0.0,0.0,0.0,1.0,0
rock,0.807,0.0,0.0,0.0,0.5,193
soundtrack,0.833,0.0,0.0,0.0,0.5,167
synthpop,1.0,0.0,0.0,0.0,1.0,0
techno,0.997,0.0,0.0,0.0,0.5,3
trance,1.0,0.0,0.0,0.0,1.0,0
world,0.995,0.0,0.0,0.0,0.5,5
Overall,0.9436,0.577,0.577,0.577,0.7733928571428571,2000
